row_number,symbol,from,to,c,d,dp,h,l,o,pc,t
2,PYPL,2025-08-03,2025-08-04,68.145,1.035,1.5422,68.57,68.57,67.91,67.11,1754333744
3,CRM,2025-08-03,2025-08-04,252.38,1.64,0.6541,253.5,253.5,252.38,250.74,1754333741
4,NFLX,2025-08-03,2025-08-04,1167.5128,8.9128,0.7693,1177,1177,1163,1158.6,1754333741
5,NVDA,2025-08-03,2025-08-04,179.2599,5.5399,3.189,179.815,179.815,174.87,173.72,1754333748
6,META,2025-08-03,2025-08-04,774.335,24.325,3.2433,775.7,775.7,758.56,750.01,1754333744
7,AMZN,2025-08-03,2025-08-04,212.13,-2.62,-1.22,217.58,217.58,217.58,214.75,1754333748
8,GOOGL,2025-08-03,2025-08-04,195.22,6.09,3.22,195.22,195.22,190.29,189.13,1754333748
9,MSFT,2025-08-03,2025-08-04,535.84,11.73,2.2381,538.25,538.25,528.16,524.11,1754333746
10,TSLA,2025-08-03,2025-08-04,310.0475,7.4175,2.451,312.1186,312.1186,305.16,302.63,1754333748
11,AAPL,2025-08-03,2025-08-04,202.36,-0.02,-0.0099,207.88,207.88,203.55,202.38,1754333748
12,PYPL,2025-08-04,2025-08-05,68.01,0.9,1.3411,68.57,68.57,67.825,67.11,1754337600
13,CRM,2025-08-04,2025-08-05,252.32,1.58,0.6301,253.5,253.5,251,250.74,1754337600
14,NFLX,2025-08-04,2025-08-05,1170.99,12.39,1.0694,1177,1177,1167.65,1158.6,1754337600
15,NVDA,2025-08-04,2025-08-05,180,6.28,3.615,180.2,180.2,175.16,173.72,1754337600
16,META,2025-08-04,2025-08-05,776.37,26.36,3.5146,776.85,776.85,760,750.01,1754337600
17,AMZN,2025-08-04,2025-08-05,211.65,-3.1,-1.4435,217.44,217.44,217.4,214.75,1754337600
18,GOOGL,2025-08-04,2025-08-05,195.04,5.91,3.1248,195.27,195.27,190.29,189.13,1754337600
19,MSFT,2025-08-04,2025-08-05,535.64,11.53,2.1999,538.25,538.25,528.27,524.11,1754337600
20,TSLA,2025-08-04,2025-08-05,309.26,6.63,2.1908,312.1186,312.1186,309.08,302.63,1754337600
21,AAPL,2025-08-04,2025-08-05,203.35,0.97,0.4793,207.88,207.88,204.505,202.38,1754337600
22,PYPL,2025-08-05,2025-08-06,67.83,-0.18,-0.2647,68.67,68.67,68.46,68.01,1754424000
23,CRM,2025-08-05,2025-08-06,247.49,-4.83,-1.9142,253.29,253.29,253.01,252.32,1754424000
24,NFLX,2025-08-05,2025-08-06,1147.87,-23.12,-1.9744,1171.71,1171.71,1171,1170.99,1754424000
25,NVDA,2025-08-05,2025-08-06,178.26,-1.74,-0.9667,180.26,180.26,179.62,180,1754424000
26,META,2025-08-05,2025-08-06,763.46,-12.91,-1.6629,783.1299,783.1299,776.445,776.37,1754424000
27,AMZN,2025-08-05,2025-08-06,213.75,2.1,0.9922,216.3,216.3,213.05,211.65,1754424000
28,GOOGL,2025-08-05,2025-08-06,194.67,-0.37,-0.1897,197.8599,197.8599,194.71,195.04,1754424000
29,MSFT,2025-08-05,2025-08-06,527.75,-7.89,-1.473,537.3,537.3,537.18,535.64,1754424000
30,TSLA,2025-08-05,2025-08-06,308.72,-0.54,-0.1746,312.4499,312.4499,308.95,309.26,1754424000
31,AAPL,2025-08-05,2025-08-06,202.92,-0.43,-0.2115,205.34,205.34,203.4,203.35,1754424000
32,PYPL,2025-08-06,2025-08-07,69.42,1.59,2.3441,69.61,69.61,68.3,67.83,1754510400
33,CRM,2025-08-06,2025-08-07,249.17,1.68,0.6788,250.26,250.26,249.37,247.49,1754510400
34,NFLX,2025-08-06,2025-08-07,1178.48,30.61,2.6667,1181.375,1181.375,1153.52,1147.87,1754510400
35,NVDA,2025-08-06,2025-08-07,179.42,1.16,0.6507,179.9,179.9,176.325,178.26,1754510400
36,META,2025-08-06,2025-08-07,771.99,8.53,1.1173,773.64,773.64,770,763.46,1754510400
37,AMZN,2025-08-06,2025-08-07,222.31,8.56,4.0047,222.65,222.65,214.695,213.75,1754510400
38,GOOGL,2025-08-06,2025-08-07,196.09,1.42,0.7294,196.63,196.63,194.5,194.67,1754510400
39,MSFT,2025-08-06,2025-08-07,524.94,-2.81,-0.5324,531.7,531.7,530.9,527.75,1754510400
40,TSLA,2025-08-06,2025-08-07,319.91,11.19,3.6246,320.47,320.47,307.89,308.72,1754510400
41,AAPL,2025-08-06,2025-08-07,213.25,10.33,5.0907,215.38,215.38,205.63,202.92,1754510400
42,PYPL,2025-08-07,2025-08-08,68.22,-1.2,-1.7286,70.17,70.17,70,69.42,1754596800
43,CRM,2025-08-07,2025-08-08,240.88,-8.29,-3.327,253.005,253.005,250.69,249.17,1754596800
44,NFLX,2025-08-07,2025-08-08,1180.37,1.89,0.1604,1191.22,1191.22,1181.76,1178.48,1754596800
45,NVDA,2025-08-07,2025-08-08,180.77,1.35,0.7524,183.88,183.88,181.57,179.42,1754596800
46,META,2025-08-07,2025-08-08,761.83,-10.16,-1.3161,775,775,773.49,771.99,1754596800
47,AMZN,2025-08-07,2025-08-08,223.13,0.82,0.3689,226.22,226.22,221,222.31,1754596800
48,GOOGL,2025-08-07,2025-08-08,196.52,0.43,0.2193,197.54,197.54,197.06,196.09,1754596800
49,MSFT,2025-08-07,2025-08-08,520.84,-4.1,-0.781,528.09,528.09,526.8,524.94,1754596800
50,TSLA,2025-08-07,2025-08-08,322.27,2.36,0.7377,322.4,322.4,319.79,319.91,1754596800
51,AAPL,2025-08-07,2025-08-08,220.03,6.78,3.1794,220.85,220.85,218.875,213.25,1754596800